"Gene","ModuleColor","kME_blue","p.kME_blue","GS_Activation_Status.Activated","PValue"
"SIT1","blue",-0.851213657821098,3.43152299841369e-12,0.823574111858333,6.77180584371524e-11
"TUBB2A","blue",0.915570704362956,1.29557863439109e-16,-0.701890162205265,4.49988210135369e-07
"LRRC1","blue",-0.887315758049982,2.42478422712141e-14,0.590539248997249,6.03825563608561e-05
"MTCH1","blue",0.907369426808872,7.0097139185801e-16,-0.552053479424772,0.000221647339643513
"ANKRD42","blue",0.845883201415695,6.37809373827151e-12,-0.838528282958375,1.44533123294316e-11
"RAB30","blue",0.937556402477771,5.10287150759788e-19,-0.781613994947753,2.63182517745353e-09
"MAP2K5","blue",0.777288606446487,3.66656904658692e-09,-0.642694562960237,7.7663095275517e-06
"SQOR","blue",-0.813282270448395,1.80684006547285e-10,0.91280622405402,2.33151026891793e-16
"GTF2B","blue",0.766370145214543,8.2036787021655e-09,-0.249266485571949,0.120875979654064
"PPM1B","blue",0.844028319751057,7.87053298159744e-12,-0.690882239478326,8.03700599034518e-07
"CYP1B1","blue",-0.766460235477001,8.15079444345541e-09,0.414162914584724,0.00788815610834979
"PREB","blue",-0.969097653740024,1.05448041361815e-24,0.761787133004379,1.13571822581538e-08
"SLC5A6","blue",0.776497517009513,3.89271634279689e-09,-0.239799018336398,0.136126211694857
"STAMBPL1","blue",-0.883443421235685,4.44944529335179e-14,0.815382640539252,1.48622448238096e-10
"SMARCAL1","blue",-0.914736538158998,1.55013161175498e-16,0.757919554563788,1.48615987189956e-08
"IDH1","blue",-0.965544198677119,8.08708604038069e-24,0.758994556498384,1.37981065787781e-08
"CIR1","blue",0.915693315489272,1.26166833007177e-16,-0.66033825061795,3.5476861056541e-06
"SLC35A5","blue",-0.942191472339707,1.22767723557238e-19,0.597868578893569,4.62467907644839e-05
"SPPL2A","blue",-0.856636127458727,1.78115478107847e-12,0.729245179901176,9.45006189812775e-08
"UBL7","blue",-0.919696104515076,5.18802313805989e-17,0.909038122717743,5.03688043558296e-16
"RASGEF1B","blue",0.965983473519219,6.36170520212254e-24,-0.73100875410834,8.49108710198141e-08
"BBS7","blue",-0.929113458118811,5.27142657891181e-18,0.876506497239529,1.25345017461687e-13
"RAP1GDS1","blue",-0.840137370673399,1.21274392648452e-11,0.891598954485878,1.20684320264008e-14
"PDE5A","blue",0.847719767075152,5.16529552629785e-12,-0.825137692547284,5.80168710627838e-11
"SEPTIN11","blue",-0.801951627765132,4.97711813382629e-10,0.765329969792402,8.83787530532074e-09
"CNOT6L","blue",0.805954807012622,3.50578015554846e-10,-0.722738393557623,1.39264871712752e-07
"CASP6","blue",-0.855427961877441,2.06609460419517e-12,0.515728301072361,0.000659340980546073
"SEC24B","blue",0.868494930031632,3.84774905813075e-13,-0.528676645293949,0.000453351710816931
"RNF185","blue",-0.878403891247615,9.50171336594135e-14,0.421645541930079,0.00673245128412668
"GABARAPL1","blue",0.907779245025642,6.46696732815185e-16,-0.824032782396886,6.47253531787116e-11
"ETNK1","blue",-0.86222886083784,8.80096152559279e-13,0.411285810114199,0.00837586317215086
"TMEM19","blue",-0.751182587157309,2.34663749705994e-08,0.648060345166105,6.15221271478065e-06
"TCHP","blue",-0.709276926497259,3.00443087976244e-07,0.282042791762628,0.0778627192294721
"KANSL2","blue",0.933768905467895,1.51089519363316e-18,-0.558886671342198,0.000178000817303274
"CSAD","blue",0.842749627478322,9.08379370043842e-12,-0.883919755760407,4.13410801529742e-14
"LMBR1L","blue",0.906459214602023,8.37255877350261e-16,-0.90131020651233,2.21320540453446e-15
"VPS33A","blue",-0.757799211958778,1.49852866587578e-08,0.214869609835336,0.183032538446058
"CUL4A","blue",-0.88034616387647,7.12135235250778e-14,0.867823774775905,4.2127207401968e-13
"EFCAB11","blue",-0.824638952390749,6.09600098330978e-11,0.927680906236918,7.61245560841553e-18
"ZSCAN29","blue",-0.839044464395976,1.3665144938519e-11,0.339184510972904,0.0322667065064513
"COMMD4","blue",-0.877475840124499,1.08866301749586e-13,0.937865017612309,4.65705025031319e-19
"PSTPIP1","blue",-0.71294300567438,2.44729187327104e-07,0.447424419767502,0.00379467087701433
"SCAPER","blue",0.841252854013372,1.07263716586349e-11,-0.69975796512113,5.04505770239607e-07
"MAN2C1","blue",0.930102983248799,4.0712315155799e-18,-0.844934230065467,7.10486455652099e-12
"USP3","blue",0.936290056320332,7.38993631834637e-19,-0.887812379223382,2.23959410476317e-14
"UNC45A","blue",-0.937991751193,4.48484668021626e-19,0.807010199715994,3.19209769682545e-10
"EFL1","blue",-0.895041703516737,6.7416493586999e-15,0.871935275826099,2.3990079086707e-13
"GLYR1","blue",-0.844787234842528,7.22415843507889e-12,0.734874946669135,6.69600534506287e-08
"CDR2","blue",0.731119790211814,8.43384041464173e-08,-0.706634006454052,3.47651862231786e-07
"MEAK7","blue",-0.753484331305058,2.0108300773236e-08,0.591701413434657,5.79071890120532e-05
"OSGIN1","blue",0.828196910895811,4.26813989819911e-11,-0.816917072004623,1.2865552351864e-10
"MED9","blue",0.838682359477909,1.4213696978725e-11,-0.360706593082255,0.0222221123465595
"GID4","blue",-0.867953762794571,4.139587231194e-13,0.489269890665399,0.00135572075844543
"GFOD2","blue",-0.893127332206445,9.34215852995096e-15,0.479576486192579,0.00174077732548226
"MTNAP1","blue",-0.963273333212226,2.66615474333323e-23,0.642610239599799,7.79451808081837e-06
"SS18","blue",-0.875368928688468,1.47670579711493e-13,0.755523512640982,1.75124044728625e-08
"ESCO1","blue",0.736795417736763,5.94179899439553e-08,-0.649348411691867,5.81365164191149e-06
"NPC1","blue",-0.719035724786715,1.72818315243551e-07,0.502263881420576,0.000958437130606626
"TP53","blue",-0.888482954584252,2.01058361268951e-14,0.884710175547381,3.65678671496724e-14
"CSNK1D","blue",0.912702836597115,2.38240679235665e-16,-0.685440161623676,1.06074985546377e-06
"FOXK2","blue",-0.896881661459713,4.89778468981106e-15,0.890380211215398,1.47619842430527e-14
"DYM","blue",0.909113470069189,4.96152846732401e-16,-0.756651284812321,1.62142428702312e-08
"NFIC","blue",0.708005274385493,3.22362970753768e-07,-0.685276084140905,1.06956403613872e-06
"MVB12A","blue",-0.9373606437847,5.40623022502139e-19,0.804476408640132,3.99388649848313e-10
"DUS3L","blue",0.842117152463676,9.74677280395199e-12,-0.371358973002163,0.0183111133732575
"SIK1","blue",0.706929630259357,3.42049664781405e-07,-0.182434794874208,0.259861440101914
"GEMIN7","blue",-0.883690199245396,4.28335509531436e-14,0.84113329567361,1.08689308776454e-11
"ZNF787","blue",-0.848722674815536,4.59800251885228e-12,0.794200350861821,9.59637768862332e-10
"C1orf216","blue",-0.862916086964221,8.05355550792634e-13,0.800433324577939,5.67287545143978e-10
"GPN2","blue",0.733720045567903,7.19138629872937e-08,-0.710029464304799,2.8812964450333e-07
"BCL10","blue",0.748424174128617,2.81760347942045e-08,-0.351879084738367,0.0259700721718435
"TMCO1","blue",-0.880025600789778,7.47104057987274e-14,0.772255568085536,5.34396417513741e-09
"ZNF687","blue",0.873171872102391,2.01762096974628e-13,-0.660457662688919,3.52830813184459e-06
"MCL1","blue",0.756275767337906,1.66362029695929e-08,-0.367938787653215,0.019498289774415
"GOLPH3L","blue",-0.955198350665676,1.08460839639797e-21,0.657823869793706,3.97913175762614e-06
"SMYD2","blue",-0.821073300376464,8.64475747682290e-11,0.716973446689176,1.94611361535839e-07
"SUSD4","blue",0.890692591020492,1.40222368412481e-14,-0.72311131393161,1.36243888579191e-07
"SNAPIN","blue",-0.9217204381554,3.25179131507831e-17,0.856782810222137,1.74919049809497e-12
"EFNA3","blue",-0.792061316199579,1.14464440918378e-09,0.622166677673642,1.81965001187767e-05
"SNAP47","blue",-0.828486085809724,4.1447851858641e-11,0.668982369304023,2.37132233265619e-06
"NVL","blue",-0.953729877735639,1.9762020702419e-21,0.788482459283541,1.53040189225401e-09
